Sample	Population_descriptor	Source	Haplotype	Sample_hap	x1	x2
HG00096	British from England and Scotland	1000G	0	HG00096_H1	0.467364246967226	-1.367857804239667
HG00096	British from England and Scotland	1000G	1	HG00096_H2	0.4601244158715552	-1.3631907024025272
HG00100	British from England and Scotland	1000G	0	HG00100_H1	0.45940391826189353	-1.3816498005443896
HG00100	British from England and Scotland	1000G	1	HG00100_H2	0.4441570303585094	-1.3717969960538776
HG00101	British from England and Scotland	1000G	0	HG00101_H1	0.4424670242624635	-1.3281667825356025
HG00101	British from England and Scotland	1000G	1	HG00101_H2	0.48165796651835524	-1.3677952050005036
HG00102	British from England and Scotland	1000G	0	HG00102_H1	0.48806481056406387	-1.3441968901981853
HG00102	British from England and Scotland	1000G	1	HG00102_H2	0.47443557005164977	-1.372718180359733
HG00103	British from England and Scotland	1000G	0	HG00103_H1	0.46585661305862885	-1.3405669707612675
HG00103	British from England and Scotland	1000G	1	HG00103_H2	0.4537843805554376	-1.3611189623507387
HG00105	British from England and Scotland	1000G	0	HG00105_H1	0.4577871352604701	-1.3128088865525176
HG00105	British from England and Scotland	1000G	1	HG00105_H2	0.4448960677131124	-1.3787267148141753
HG00106	British from England and Scotland	1000G	0	HG00106_H1	0.47531749209518165	-1.3607986213570757
HG00106	British from England and Scotland	1000G	1	HG00106_H2	0.4720125102764986	-1.3819539408118442
HG00107	British from England and Scotland	1000G	0	HG00107_H1	0.4664739461795742	-1.3450488549304471
HG00107	British from England and Scotland	1000G	1	HG00107_H2	0.48277620872745053	-1.3589132437558176
HG00108	British from England and Scotland	1000G	0	HG00108_H1	0.45187939550718714	-1.367984773873834
HG00108	British from England and Scotland	1000G	1	HG00108_H2	0.4559887343565676	-1.350299898988642
HG00109	British from England and Scotland	1000G	0	HG00109_H1	0.4545958034816567	-1.3502248783304256
HG00109	British from England and Scotland	1000G	1	HG00109_H2	0.4718856837265519	-1.3737466004667804
HG00110	British from England and Scotland	1000G	0	HG00110_H1	0.4731952080544415	-1.3262541346738124
HG00110	British from England and Scotland	1000G	1	HG00110_H2	0.4701159260998731	-1.3737431591071896
HG00111	British from England and Scotland	1000G	0	HG00111_H1	0.4752961297590177	-1.3721164723987491
HG00111	British from England and Scotland	1000G	1	HG00111_H2	0.4536076855451429	-1.352363525580794
HG00112	British from England and Scotland	1000G	0	HG00112_H1	0.46983963383644867	-1.3816278342406123
HG00112	British from England and Scotland	1000G	1	HG00112_H2	0.4875923643359113	-1.328011702185293
HG00113	British from England and Scotland	1000G	0	HG00113_H1	0.4602935946449127	-1.3436057014260931
HG00113	British from England and Scotland	1000G	1	HG00113_H2	0.45768830777008707	-1.37579454827192
HG00114	British from England and Scotland	1000G	0	HG00114_H1	0.45096863901568734	-1.358809122453167
HG00114	British from England and Scotland	1000G	1	HG00114_H2	0.46412039134305194	-1.332289084844846
HG00115	British from England and Scotland	1000G	0	HG00115_H1	0.45696728804255843	-1.3831051267900594
HG00115	British from England and Scotland	1000G	1	HG00115_H2	0.4518960749930042	-1.3817351418560873
HG00116	British from England and Scotland	1000G	0	HG00116_H1	0.47190111849040617	-1.3556660992313632
HG00116	British from England and Scotland	1000G	1	HG00116_H2	0.47308070985784234	-1.3704992528675461
HG00117	British from England and Scotland	1000G	0	HG00117_H1	0.47691321074909265	-1.3596026790315305
HG00117	British from England and Scotland	1000G	1	HG00117_H2	0.47336344601247654	-1.3642162861243678
HG00118	British from England and Scotland	1000G	0	HG00118_H1	0.4649811924591102	-1.340264706384474
HG00118	British from England and Scotland	1000G	1	HG00118_H2	0.4638578161360274	-1.3771269971373237
HG00119	British from England and Scotland	1000G	0	HG00119_H1	0.45490763411822394	-1.3800163294379828
